Permission_level,Date,Route,Direction,Road_Type,No_Of_Lanes,Chainage_per_m,GPS_Points[Lat,Long],Lane_width,Image_FileName_Image_location,Horzontal_Cross_sectionLidar3D_File_to_display,Longitudinal_Elevation,Distress_Detected,Distress1_Type,Distress1_Area,Distress1_Volume,Distress1_Height,Distress2_Type,Distress2_Area,Distress2_Volume,Distress2_Height,Distress3_Type,Distress3_Area,Distress3_Volume,Distress3_Height,Distress4_Type,Distress4_Area,Distress4_Volume,Distress4_Height,Distress5_Type,Distress5_Area,Distress5_Volume,Distress5_Height,Greenery,Safety Barriers,Signs_or_SignBoards,Lane_Markings,Side_Walks,Side_WalksWidth,Side_WalksHeight,Median,Median_Height,Retaining_Walls,Bridges,Culverts,Storm_Water_Channels,Embankments
Global,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,BT,2,300,"[13.6435165-79.4181519]",12,2020_02_04_10_20_06_514968_cam2.jpg,2020_02_04_10_20_06_514968.csv,512,Yes,Pothole,5475,11750,,,,6262,0,,,,,,,,,,,,,Lawn,Safety Barrier Type,Stop Signal,Yes,Yes,150,10,Yes,22,Yes,Yes,Yes,Yes,Yes
User: Prasad.Kashyap,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,301,"[13.643115-79.4172211]",12,2020_02_04_10_21_22_489005_cam1.jpg,2020_02_04_10_21_22_489005.csv,513,No,,,,,,,,,,,,,,,,,,,,,Bush,Safety Barrier Type,Speed Limit,Yes,Yes,150,10,Yes,25,Yes,Yes,Yes,Yes,POI
User: Kashyap. Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,BT+CC,2,302,"[13.6446104-79.4172745]",12,2020_02_04_10_22_02_379047_cam1.jpg,2020_02_04_10_22_02_379047.csv,513,No,,,,,,,,,,,,,,,,,,,,,Plant,Safety Barrier Type,No,Yes,Yes,150,10,Yes,40,Yes,Yes,Yes,Yes,POI
User:Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,303,"[13.6446896-79.4172745]",12,2020_02_04_10_22_04_242066_cam1.jpg,2020_02_04_10_22_04_242066.csv,513,No,,,,,,,,,...,...,,,,,,,,,,,Tree,Safety Barrier Type,No,Yes,Yes,150,10,N/A,,POI,Yes,Yes,POI,POI
User:Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,304,"[13.6447468-79.4172745]",12,2020_02_04_10_22_05_711038_cam2.jpg,2020_02_04_10_22_05_711038.csv,513,No,,,,,,,,,,,,,,,,,,,,,N/A,Safety Barrier Type,No,Yes,Yes,135,15,N/A,,POI,POI,POI,POI,POI
User:Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,305,"[13.6448765-79.4172668]",12,2020_02_04_10_22_10_086001_cam2.jpg,2020_02_04_10_22_10_086001.csv,514,No,,,,,,,,,,,,,,,,,,,,,N/A,No,No,N/A,Yes,135,15,Yes,40,POI,Yes,Yes,POI,POI
User: Kashyap. Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,306,"[13.6451988-79.4169159]",8,2020_02_04_10_22_39_562030_cam1.jpg,2020_02_04_10_22_39_562030.csv,514,No,,,,,,,,,,,,,,,,,,,,,N/A,No,U turn,N/A,N/A,,,Yes,40,No,No,No,No,No
User: Kashyap. Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,307,"[13.6443138-79.4168701]",8,2020_02_04_10_23_05_414031_cam2.jpg,2020_02_04_10_23_05_414031.csv,514,Yes,Pothole,5475,11750,,Pothole,12228,20501,,,,,,,,,,,,,,N/A,N/A,Stop Signal,No,N/A,,,Yes,40,No,No,No,No,No
User:Abhishek,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,308,"[13.6437817-79.416832]",8,2020_02_04_10_23_23_995057_cam1.jpg,2020_02_04_10_23_23_995057.csv,513,Yes,Pothole,8501,13636,,Pothole,3182,7523,,,,,,,,,,,,,,N/A,N/A,Speed Limit,No,N/A,,,N/A,,No,No,No,No,No
Global,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,CC,2,309,"[13.644887-79.4172592]",8,2020_02_04_10_24_45_062148_cam2.jpg,2020_02_04_10_24_45_062148.csv,513,Yes,Pothole,3433,11243,,Manhole,,,40,,,,,,,,,,,,,No,N/A,Speed Limit,No,No,,,No,,No,No,No,No,No
Global,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,BT+CC,2,310,"[13.6520805-79.4187775]",8,2020_02_04_10_33_25_444528_cam2.jpg,2020_02_04_10_33_25_444528.csv,514,Yes,Pothole,1277,9675,,,,,,,,,,,,,,,,,,No,N/A,Speed Limit,No,No,,,No,,No,No,No,No,No
Global,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,BT+CC,2,311,"[13.6506453-79.4152908]",8,2020_02_04_10_36_40_841773_cam1.jpg,2020_02_04_10_36_40_841773.csv,514,Yes,Manhole,N/A,N/A,26,,,,,,,,,,,,,,,,,No,N/A,No,No,No,,,N/A,,No,No,No,No,No
Global,05-02-2020,VaradarajuNagar-internal_roads,VN_to_MRKT,BT+CC,2,312,"[13.6504478-79.4153519]",8,2020_02_04_10_37_31_624555_cam1.jpg,2020_02_04_10_37_31_624555.csv,514,Yes,Manhole,N/A,N/A,17,,,,,,,,,,,,,,,,,No,N/A,No,No,No,,,N/A,,No,No,No,No,No
